DATA,EXCEPTION,time,pitch,roll,yaw,airspeed,displayedAltitude,pressureAltitude,turnRate,verticalSpeed,lateralAcceleration,verticalAcceleration,angleOfAttack,
03033449+019+00063000000+0051-016+01+1099FA4AD901BC,ok,11014765,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.6,0.01,1.0,0.98999995,
03033450+019+00063000000+0096+000+01+1099FA49FE01BA,ok,11014781,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033451+019+00063000000+0096+000+01+1099FA49FE01BB,ok,11014796,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033452+019+00063000000+0096+000+01+1099FA49FE01BC,ok,11014812,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033453+019+00063000000+0096+000+01+1099FA49FE01BD,ok,11014828,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033454+019+00063000000+0096+000+01+1099FA49FE01BE,ok,11014843,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033455+019+00063000000+0051-018+01+1099FA4AD901BB,ok,11014859,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.8000001,0.01,1.0,0.98999995,
03033456+019+00063000000+0051-018+01+1099FA4AD901BC,ok,11014875,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.8000001,0.01,1.0,0.98999995,
03033457+019+00063000000+0051-017+01+1099FA4AD901BC,ok,11014890,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.7,0.01,1.0,0.98999995,
03033458+019+00063000000+0051-017+01+1099FA4AD901BD,ok,11014906,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.7,0.01,1.0,0.98999995,
03033459+019+00063000000+0051-017+01+1099FA4AD901BE,ok,11014921,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.7,0.01,1.0,0.98999995,
03033460+019+00063000000+0096+000+01+1099FA49FE01BB,ok,11014937,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033461+019+00063000000+0096+000+01+1099FA49FE01BC,ok,11014953,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033462+019+00063000000+0096+000+01+1099FA49FE01BD,ok,11014968,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033463+019+00063000000+0096+000+01+1099FA49FE01BE,ok,11014984,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033400+019+00063000000+0096+000+01+1099FA49FE01B5,ok,11014000,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033401+018+00063000000+0051-017+01+1099FA4AD901B0,ok,11014015,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-1.7,0.01,1.0,0.98999995,
03033502+018+00063000000+0051-017+01+1099FA4AD901B2,ok,11015031,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-1.7,0.01,1.0,0.98999995,
03033503+018+00063000000+0051-019+01+1099FA4AD901B5,ok,11015046,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-1.9,0.01,1.0,0.98999995,
